Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,Continent,Reliable
Anguilla,0.47712125471966244,,,,0.47712125471966244,North America,False
Antigua and Barbuda,1.9637878273455553,,0.47712125471966244,,1.8808135922807914,North America,True
Aruba,2.419955748489758,,0.47712125471966244,,2.0569048513364727,North America,True
Bahamas,2.8813846567705728,,1.146128035678238,,1.9590413923210936,North America,True
Barbados,2.123851640967086,,0.8450980400142568,,2.0,North America,True
Belize,1.9344984512435677,,0.3010299956639812,,1.4913616938342726,North America,True
Bermuda,2.1958996524092336,,0.9542425094393249,,2.1583624920952498,North America,True
British Virgin Islands,0.9542425094393249,,0.0,,0.8450980400142568,North America,True
Canada,5.073941853697419,,3.952598734529773,,5.013283938717773,North America,False
Caribbean Netherlands,1.1139433523068367,,,,0.8450980400142568,North America,False
Cayman Islands,2.307496037913213,,0.0,,2.305351369446624,North America,True
Costa Rica,4.3236645356081,,2.3010299956639813,,3.8474492624991727,North America,True
Cuba,3.443262987458695,,1.9444826721501687,,3.3818367999983434,North America,True
Curaçao,1.4913616938342726,,0.0,,1.4471580313422192,North America,True
Dominica,1.255272505103306,,,,1.255272505103306,North America,False
Dominican Republic,4.883865760954565,,3.095518042323151,,4.6078730314848055,North America,True
El Salvador,4.281624151440202,,2.7101173651118162,,3.9654839242451385,North America,True
Greenland,1.146128035678238,,,,1.146128035678238,North America,False
Grenada,1.380211241711606,,,,1.3617278360175928,North America,False
Guadeloupe,2.4456042032735974,,1.146128035678238,,2.2528530309798933,North America,True
Guatemala,4.735111641838993,,3.3261309567107946,,4.623972512016996,North America,True
Haiti,3.877601679729272,,2.2329961103921536,,3.6841269256130755,North America,True
Honduras,4.6541572822721164,,3.153204900084284,,3.7864674767402824,North America,True
Jamaica,2.9813655090785445,1.4771212547196624,1.0791812460476249,,2.8721562727482928,North America,True
Martinique,2.4409090820652177,,1.1760912590556813,,1.9912260756924949,North America,True
Mexico,5.665290113306359,3.8188854145940097,4.703437551658997,2.9132839017604186,5.489744793331877,North America,True
Montserrat,1.1139433523068367,,0.0,,1.0,North America,True
Nicaragua,3.591287265058499,,2.089905111439398,,3.4643404846276673,North America,True
Panama,4.853807683981578,,3.1970047280230456,,4.659516883764218,North America,True
Saint Barthelemy,0.9542425094393249,,,,0.7781512503836436,North America,False
Saint Kitts and Nevis,1.2304489213782739,,,,1.2041199826559248,North America,False
Saint Lucia,1.3979400086720377,,,,1.380211241711606,North America,False
Saint Martin,1.724275869600789,,0.47712125471966244,,1.6127838567197355,North America,True
Saint Pierre and Miquelon,0.6020599913279624,,,,0.0,North America,False
Saint Vincent and the Grenadines,1.7481880270062005,,,,1.662757831681574,North America,False
Trinidad and Tobago,2.322219294733919,,0.9030899869919435,,2.130333768495006,North America,True
Turks and Caicos,2.110589710299249,,0.3010299956639812,,1.591064607026499,North America,True
USA,6.701756081032129,,5.211665071048187,,6.411058463930549,North America,True
