Libya,9707,1410,N/A,173,88492,N/A,1047,152,6883928
Liechtenstein,99,,N/A,1,900,N/A,88,,38143
Lithuania,2528,931,6,82,594478,699,1747,643,2716679
Luxembourg,7637,,3,124,706629,610,6903,,627342
Madagascar,14154,509,83,177,53954,939,13038,469,27783027
Malawi,5282,275,4,165,41026,2234,2883,150,19193810
Malaysia,9240,285,7,125,1152140,183,8932,275,32422234
Maldives,6370,,12,24,100233,2431,3915,,541813
Mali,2667,131,N/A,125,32716,N/A,1993,98,20325303
Malta,1510,,N/A,9,166348,N/A,802,,441708
Mauritania,6848,1468,3,158,68872,567,6123,1312,4665419
Mauritius,346,272,N/A,10,205285,N/A,334,263,1272065
Moldova,31937,7920,362,921,183923,9131,21885,5427,4032626
Monaco,150,,1,4,51953,31,115,,39280
Mongolia,298,91,1,N/A,46332,N/A,281,86,3285365
Montenegro,4229,,N/A,81,44219,N/A,3186,,628077
Morocco,47638,1289,31,775,1670569,14057,32806,887,36970089
Mozambique,3115,99,N/A,20,82264,N/A,1380,44,31367587
Namibia,4912,1929,18,41,45744,2429,2442,959,2547027
Nepal,29645,1015,N/A,126,878622,N/A,17964,615,29206558
New Zealand,1665,333,9,22,673220,105,1538,307,5002100
Nicaragua,4311,650,N/A,133,N/A,N/A,2913,439,6635277
Niger,1169,48,N/A,69,9052,N/A,1082,44,24315155
Nigeria,50964,246,7,992,352625,12403,37569,182,206802324
North Macedonia,13194,6333,4,554,132493,2888,9752,4681,2083362
Norway,10197,1879,1,264,588550,783,9150,1686,5427090
Oman,83769,16350,151,609,309212,4774,78386,15300,5123430
Panama,83855,19393,154,1844,287300,22837,59174,13685,4323882
Papua New Guinea,361,40,N/A,4,14439,N/A,198,22,8969502
Paraguay,11817,1654,63,170,166110,4864,6783,949,7144441
Philippines,178022,1622,717,2883,2193448,61025,114114,1039,109778515
Poland,59378,1569,85,1925,2409394,16972,40481,1070,37840722
Portugal,54992,5395,39,1788,1880235,12940,40264,3950,10192461
Qatar,116224,41393,64,193,572273,3107,112924,40218,2807805
Romania,74963,3900,489,3154,1591015,37613,34196,1779,19219141
Rwanda,2717,209,N/A,11,351383,N/A,1705,131,12993865
Saint Kitts and Nevis,17,,N/A,N/A,1385,N/A,17,,53251
Saint Lucia,26,,N/A,N/A,4946,N/A,25,,183744
Saint Vincent and the Grenadines,58,,N/A,N/A,3033,N/A,56,,110989
San Marino,704,,N/A,42,6511,N/A,657,,33941
São Tomé and Príncipe,888,,N/A,15,3432,N/A,829,,219700
Saudi Arabia,303973,8713,1682,3548,4501104,24949,275476,7896,34886672
Senegal,12559,748,39,261,134349,4248,8050,479,16800813
Serbia,30209,3459,52,689,842441,1612,27908,3196,8732325
Seychelles,132,,N/A,N/A,N/A,N/A,126,,98431
Sierra Leone,1969,246,N/A,69,N/A,N/A,1536,192,7998386
Singapore,56099,,27,,53119
Slovakia,3102,568,8,33,304021,1055,2014,369,5460016
Slovenia,2536,1220,3,129,147091,328,2079,1000,2078978
Somalia,3265,205,N/A,93,N/A,N/A,2396,150,15950038
South Africa,599940,10098,539,12618,3480283,90153,497169,8368,59410167
South Sudan,2494,222,N/A,47,12044,N/A,1290,115,11211590
Sri Lanka,2918,136,1,11,195025,142,2765,129,21425788
Sudan,12582,286,N/A,812,401,N/A,6456,147,43982802
Suriname,3366,,20,55,5889,928,2383,,587354
Switzerland,39026,4505,15,1998,910283,3128,33900,3913,8663370
Syria,2008,114,N/A,82,N/A,N/A,460,26,17555909
Taiwan,486,20,N/A,7,85563,N/A,457,19,23822843
Tajikistan,8203,858,N/A,66,N/A,N/A,7006,732,9565683
Tanzania,509,8,7,21,N/A,N/A,183,3,59951725
Thailand,3389,49,1,58,749213,113,3218,46,69824575
Timor-Leste,25,19,N/A,N/A,4238,N/A,25,19,1321774
Togo,1212,146,2,27,55741,307,878,106,8304024
Trinidad and Tobago,767,548,3,12,18036,615,140,100,1400123
Tunisia,2543,215,8,63,119193,1083,1397,118,11835528
Turkey,254520,3013,735,6058,6061930,13665,234797,2780,84463026
Uganda,1750,38,N/A,19,336713,N/A,1194,26,45923374
UAE,65802,6642,N/A,369,6265918,N/A,58153,5870,9906649
Uruguay,1506,433,3,41,154431,223,1242,357,3475415
Uzbekistan,37547,1120,410,252,1377915,4034,33261,992,33534589
Venezuela,37567,1322,85,311,1678639,10926,26330,926,28424431
Vietnam,1007,10,N/A,25,817208,N/A,542,6,97458937
Palestine,17989,3516,N/A,120,214862,N/A,10682,2088,5116888
Western Sahara,10,,N/A,1,N/A,N/A,8,,599245
Yemen,1899,63,N/A,541,120,N/A,1058,35,29912082
Zambia,10372,562,N/A,274,103023,N/A,9126,495,18449899
Zimbabwe,5745,386,N/A,151,149748,N/A,4525,304,14892083
USA,5746272,17346,16817,177424,73868332,2473364,3095484,9344,331272237
Brazil,3505097,16474,8318,112423,13748152,739267,2653407,12471,212768400
India,2904329,2102,8944,54975,32661252,691413,2157941,1562,1381863561
Russia,942106,6455,2300,16099,33500000,170494,755513,5177,145943309
Peru,567059,17166,1519,27034,2852011,159295,380730,11525,33033892
Mexico,543806,4212,3503,59106,1226117,113062,371638,2878,129117943
Colombia,513719,10081,1493,16183,2374898,158412,339124,6655,50956995
Spain,377906,8082,522,28813,7955615,198717,150376,3216,46757339
Chile,391849,20474,1077,10671,2113632,15115,366063,19127,19138783
UK,322280,4744,70,41403,15177265,N/A,N/A,N/A,67935641
Pakistan,290958,1314,725,6209,2363752,11945,272804,1232,221460187
Italy,256118,4237,676,35418,7790596,16014,204686,3386,60449180
Germany,231284,2759,231,9324,10197366,17160,204800,2443,83821481
Canada,125395,3318,61,9094,4974215,4755,111546,2952,37787666
Ukraine,98537,2255,177,2184,1356698,45912,50441,1154,43695861
Sweden,85810,8489,27,5805,1030010,N/A,N/A,N/A,10108001
Netherlands,65054,3795,51,6191,1312787,N/A,N/A,N/A,17140202
Japan,58501,463,237,1144,1259422,12091,45266,358,126421114
Australia,24407,956,47,472,5572193,6081,17854,699,25540177
French Guiana,8743,,17,54,48382,500,8189,,299682
Mayotte,3160,,1,39,13000,157,2964,,273671
Aruba,1387,,2,6,17669,1104,277,,106829
Réunion,996,,3,5,35419,334,657,,896196
Channel Islands,613,,N/A,48,68985,N/A,545,,174083
Guadeloupe,510,,2,15,23585,206,289,,400134
Faroe Islands,383,,3,N/A,80312,N/A,274,,48889
Isle of Man,336,,N/A,24,9423,N/A,312,,85096
Martinique,336,,2,16,12227,222,98,,375224
Turks and Caicos,327,,3,2,1940,269,56,,38788
Gibraltar,229,,N/A,N/A,28366,N/A,200,,33690
French Polynesia,211,,2,N/A,9912,N/A,68,,281134
Cayman Islands,205,,N/A,1,33978,N/A,202,,65827
Bermuda,166,,N/A,9,36203,N/A,147,,62245
Saint Martin,121,,1,5,2449,67,49,,38754
Curaçao,36,,N/A,1,1080,N/A,31,,164187
New Caledonia,23,,N/A,N/A,11838,N/A,22,,285874
Saint Barthelemy,16,,N/A,N/A,1699,N/A,9,,9881
Greenland,14,,N/A,N/A,6446,N/A,14,,56784
Montserrat,13,,N/A,1,61,N/A,12,,4992
Caribbean Netherlands,13,,N/A,N/A,424,N/A,7,,26256
Falkland Islands,13,,N/A,N/A,2256,N/A,13,,3493
British Virgin Islands,11,,N/A,1,1890,N/A,8,,30259
Saint Pierre and Miquelon,5,,N/A,N/A,N/A,N/A,1,,5790
Anguilla,3,,N/A,N/A,662,N/A,3,,15021
China,84917,59,20,4634,90410000,491,79792,55,1439323776
